number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_num_epochs,state
0,1.0,2024-10-06 00:14:32.214948,2024-10-06 00:14:57.199555,0 days 00:00:24.984607,46,0.0008593035654265148,0.9642393915574923,22,COMPLETE
1,1.0,2024-10-06 00:14:57.200062,2024-10-06 00:15:27.319546,0 days 00:00:30.119484,94,5.531766712785515e-05,0.8826246384756715,37,COMPLETE
2,1.0,2024-10-06 00:15:27.320572,2024-10-06 00:15:42.300042,0 days 00:00:14.979470,76,0.0001423660649211645,0.8932982175919584,16,COMPLETE
