number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_num_epochs,user_attrs_model_file,state
0,0.76,2024-10-06 08:13:32.445624,2024-10-06 08:13:50.343279,0 days 00:00:17.897655,24,0.0032837404184965268,8,./model/QuakeCNN_0.pth,COMPLETE
1,0.88,2024-10-06 08:13:50.344279,2024-10-06 08:14:37.092423,0 days 00:00:46.748144,80,0.012955466574089013,49,./model/QuakeCNN_1.pth,COMPLETE
2,0.72,2024-10-06 08:14:37.093424,2024-10-06 08:14:53.404271,0 days 00:00:16.310847,83,0.014136871487655396,17,./model/QuakeCNN_2.pth,COMPLETE
3,0.21333333333333335,2024-10-06 08:14:53.405239,2024-10-06 08:15:43.069623,0 days 00:00:49.664384,34,0.016451730632496678,30,./model/QuakeCNN_3.pth,COMPLETE
